ident,type,latitude_deg,longitude_deg,elevation_ft
ABB,VORTAC,38.58879852,-85.63600159,710
ABI,VORTAC,32.48130035,-99.8635025,1810
ABQ,VORTAC,35.04380035,-106.8160019,5743
ABR,VOR-DME,45.41740036,-98.36869812,1301
ACH,VORTAC,35.11169815,-105.0400009,5450
ACK,VOR-DME,41.28179932,-70.02670288,100
ACO,VOR-DME,41.10789871,-81.20149994,1200
ACT,VORTAC,31.66230011,-97.26899719,510
ACV,VOR-DME,40.98139954,-124.1080017,193
ACY,VORTAC,39.45589828,-74.57630157,70
ADH,VOR-DME,34.80260086,-96.67009735,987
ADK,NDB-DME,51.87189865,-176.6759949,332
ADM,VORTAC,34.21160126,-97.16829681,925
ADW,VORTAC,38.80720139,-76.86620331,260
AEL,VOR-DME,43.68180084,-93.3707962,1265
AEX,VORTAC,31.25670052,-92.50099945,80
AFE,NDB-DME,56.96390152,-133.9120026,170
AGC,VOR-DME,40.27870178,-80.04090118,1290
AHC,VOR-DME,40.26789856,-120.1520004,4028
AHN,VORTAC,33.94760132,-83.32479858,790
AHT,NDB-DME,51.37969971,-179.2579956,221
AIA,VOR-DME,42.05559921,-102.8040009,3925
AIR,VOR-DME,40.01699829,-80.81729889,1290
AIX,NDB-DME,60.38499832,-166.2149963,33
AKN,VORTAC,58.72470093,-156.7519989,89
AKO,VOR-DME,40.1556015,-103.1800003,4620
AKW,NDB-DME,55.5685997,-133.0789948,30
ALB,VORTAC,42.74720001,-73.80319977,275
ALD,VOR,33.01250076,-81.29219818,190
ALI,VOR,27.7397995,-98.02130127,170
ALO,VORTAC,42.55649948,-92.39890289,865
ALS,VORTAC,37.3492012,-105.8160019,7535
ALW,VOR-DME,46.0870018,-118.2929993,1150
AMF,NDB-DME,67.10679626,-157.8580017,282
AMG,VORTAC,31.53650093,-82.50810242,200
AML,VORTAC,38.93460083,-77.46669769,297
ANC,VOR-DME,61.1507988,-150.2070007,287
ANN,VOR-DME,55.0603981,-131.5780029,174
ANV,NDB-DME,62.64139938,-160.1900024,358
ANW,VOR-DME,42.56909943,-99.98970032,2582
ANX,VORTAC,39.09540176,-94.12879944,878
ANY,VORTAC,37.15890121,-98.17070007,1390
AOH,VOR,40.70709991,-83.96820068,980
AOO,VOR,40.32540131,-78.30370331,1630
APE,VORTAC,40.15110016,-82.58830261,1350
APN,VORTAC,45.08280182,-83.55699921,680
ARD,VOR-DME,40.25329971,-74.9076004,300
ARG,VORTAC,36.11000061,-90.9536972,260
ARH,TACAN,31.5855999,-110.3389969,4659
ART,VORTAC,43.95199966,-76.06459808,370
ASP,VOR-DME,44.44910049,-83.39430237,627
AST,VOR-DME,46.1617012,-123.8799973,10
ASX,VOR-DME,46.54940033,-90.91719818,820
ATL,VORTAC,33.6291008,-84.43509674,1000
ATR,VOR-DME,38.80979919,-75.21130371,5
ATY,VORTAC,44.97969818,-97.14170074,1750
AUG,VOR-DME,44.31999969,-69.79660034,349
AUW,VORTAC,44.84680176,-89.58660126,1210
AVE,VORTAC,35.64699936,-119.9789963,710
AXC,VORTAC,39.7375214,-88.8564314,708
AXN,VOR-DME,45.95840073,-95.23259735,1380
AYS,VORTAC,31.26939964,-82.55639648,150
AZO,VOR-DME,42.23699951,-85.55319977,870
AZQ,VOR-DME,37.3913002,-83.26300049,1247
BAB,TACAN,39.13479996,-121.4410019,165
BAD,TACAN,32.50329971,-93.6678009,163
BAE,VORTAC,43.1169014,-88.28430176,1080
BAF,VORTAC,42.16199875,-72.71620178,270
BAL,VORTAC,39.17110062,-76.66130066,140
BAM,VORTAC,40.56919861,-116.9219971,4536
BAX,VOR-DME,43.78279877,-82.9838028,755
BCE,VORTAC,37.68920135,-112.3040009,9040
BDE,VOR-DME,48.72280121,-94.6072998,1081
BDF,VORTAC,41.15969849,-89.58789825,810
BDL,VORTAC,41.94100189,-72.68859863,160
BDR,VOR-DME,41.16070175,-73.12449646,9
BET,VORTAC,60.78480148,-161.8240051,92
BFD,VOR-DME,41.78639984,-78.61940002,2100
BFF,VORTAC,41.89419937,-103.4820023,4170
BFM,VORTAC,30.61269951,-88.05549622,10
BFV,VORTAC,35.23690033,-99.20619965,1780
BGD,VORTAC,35.80709839,-101.3820038,3130
BGQ,VORTAC,61.56949997,-149.9669952,160
BGR,VORTAC,44.84180069,-68.87400055,359
BGS,VORTAC,32.38560104,-101.4840012,2670
BIB,VORTAC,38.92029953,-88.48179626,540
BIE,VOR,40.30139923,-96.75460052,1300
BIG,VORTAC,64.00440216,-145.7169952,1230
BIH,VOR-DME,37.3769989,-118.3669968,4110
BIL,VORTAC,45.80860138,-108.625,3808
BIS,VOR-DME,46.76179886,-100.6650009,1841
BIX,TACAN,30.40710068,-88.92970276,10
BJB,VOR,43.42200089,-88.12519836,871
BJC,VOR-DME,39.9129982,-105.1389999,5734
BJI,VORTAC,47.57590103,-95.02480316,1410
BKA,VORTAC,56.8594017,-135.5509949,240
BKE,VOR-DME,44.84059906,-117.8079987,3360
BKF,TACAN,39.70740128,-104.7519989,5580
BKW,VORTAC,37.78030014,-81.12349701,2500
BKX,VOR-DME,44.30319977,-96.81510162,1641
BLD,VORTAC,35.99580002,-114.8639984,3650
BLF,VORTAC,37.3064003,-81.19429779,2900
BLH,VORTAC,33.59609985,-114.7610016,410
BMI,VOR-DME,40.48080063,-88.93119812,880
BML,VOR-DME,44.63339996,-71.18609619,1730
BNA,VORTAC,36.13700104,-86.68479919,566
BOI,VORTAC,43.55279922,-116.1920013,2876
BOS,VORTAC,42.35739899,-70.98950195,20
BOY,VOR-DME,43.46319962,-108.3000031,7550
BPI,VOR-DME,42.57939911,-110.1090012,6949
BPT,VOR-DME,29.94610023,-94.0161972,10
BQM,VOR-DME,38.23020172,-85.66470337,540
BQS,VOR-DME,39.63059998,-93.87529755,930
BQU,VOR-DME,40.75970078,-115.7610016,6464
BQZ,VOR-DME,40.46369934,-106.8720016,8250
BRD,VORTAC,46.34830093,-94.02600098,1250
BRK,VORTAC,38.94449997,-104.6330032,6934
BRL,VORTAC,40.72340012,-90.92590332,730
BRO,VORTAC,25.92410088,-97.37529755,10
BRV,VORTAC,38.3362999,-77.35289764,145
BRW,VOR-DME,71.27339935,-156.7879944,40
BSR,VORTAC,36.18130112,-121.6419983,4085
BSV,VOR-DME,40.74069977,-81.43209839,1230
BTG,VORTAC,45.74779892,-122.5920029,253
BTL,VORTAC,42.30979919,-85.25229645,930
BTR,VORTAC,30.48509979,-91.2940979,20
BTT,VOR-DME,66.90499878,-151.5359955,634
BTV,VORTAC,44.39709854,-73.18260193,420
BTY,VORTAC,36.80059814,-116.7480011,2925
BUA,VOR-DME,45.55220032,-103.4560013,3020
BUD,VOR,40.61660004,-83.063797,991
BUF,VOR-DME,42.92900085,-78.64630127,730
BUM,VORTAC,38.27209854,-94.48819733,890
BUU,VOR-DME,42.68930054,-88.30180359,780
BVK,NDB-DME,65.97979736,-161.1490021,26
BVL,VORTAC,40.72610092,-113.7570038,4220
BVO,VOR-DME,36.83420181,-96.01830292,940
BVR,VOR-DME,39.76580048,-103.9280014,5252
BVT,VORTAC,40.55609894,-87.06929779,750
BWD,VOR-DME,31.89259911,-98.95749664,1571
BWG,VORTAC,36.92869949,-86.44339752,565
BWS,VOR-DME,32.82130051,-106.0130005,4100
BWZ,VOR-DME,40.79840088,-74.82180023,1048
BXK,VORTAC,33.45349884,-112.8249969,1060
BXZ,VOR-DME,44.24269867,-84.1835022,805
BYI,VOR-DME,42.5802002,-113.8659973,4230
BYP,VORTAC,33.53749847,-96.23410034,700
BZA,VORTAC,32.76810074,-114.6029968,130
BZM,VOR-DME,35.8689003,-81.2405014,1880
BZN,VOR-DME,45.78390121,-111.1549988,4430
CAE,VORTAC,33.8572998,-81.05390167,400
CAM,VOR-DME,42.99430084,-73.34400177,1490
CBM,VORTAC,33.64149857,-88.43849945,220
CBU,TACAN,45.58860016,-122.6110001,22
CCC,VOR-DME,40.92959976,-72.79889679,86
CCR,VOR-DME,38.04489899,-122.0449982,5
CCT,VORTAC,37.38240051,-87.26370239,450
CCV,VORTAC,37.34749985,-75.99770355,10
CDB,VORTAC,55.26739883,-162.7740021,97
CDC,VOR-DME,37.78730011,-113.0680008,5464
CDR,VOR-DME,42.55879974,-103.3119965,4630
CDS,VORTAC,34.36909866,-100.2890015,1920
CEC,VORTAC,41.77959824,-124.2409973,50
CEF,VORTAC,42.19749832,-72.52629852,241
CEW,VORTAC,30.82620049,-86.67910004,255
CEZ,VOR-DME,37.38980103,-108.5619965,6223
CFB,VORTAC,42.15750122,-76.1364975,1570
CGG,VOR,44.68159866,-84.72889709,1153
CGI,VOR-DME,37.22750092,-89.57240295,340
CGT,VORTAC,41.50999832,-87.57150269,630
CHE,VOR-DME,40.52009964,-107.3050003,7230
CHS,VORTAC,32.89429855,-80.03780365,39
CIC,VOR-DME,39.78979874,-121.8470001,220
CID,VOR-DME,41.88750076,-91.78569794,870
CIE,VORTAC,32.03340149,-109.7580032,4230
CIM,VORTAC,36.49140167,-104.8720016,6550
CIP,VOR-DME,41.14630127,-79.45800018,1530
CKB,VOR-DME,39.25320053,-80.26789856,1430
CKH,VORTAC,21.26519966,-157.7030029,640
CKV,VOR-DME,36.62200165,-87.41259766,540
CKW,VOR-DME,41.75569916,-107.5820007,7050
CKZ,VOR-DME,40.39089966,-75.2888031,552
CLL,VORTAC,30.60499954,-96.42070007,370
CLT,VOR-DME,35.19029999,-80.9516983,732
CMA,VOR-DME,34.21250153,-119.0940018,62
CME,VORTAC,33.33750153,-104.6210022,3772
CMI,VORTAC,40.03450012,-88.27610016,750
CMK,VOR-DME,41.28010178,-73.58139801,690
CMX,VOR-DME,47.17029953,-88.48539734,1072
CNG,VORTAC,37.00859833,-88.8368988,480
CNM,VORTAC,32.25659943,-104.2259979,3250
CNU,VOR-DME,37.62609863,-95.59349823,1080
CNX,VORTAC,34.36700058,-105.6780014,6411
COD,VOR-DME,44.62039948,-108.9649963,4794
COE,VOR-DME,47.77370071,-116.8209991,2290
COF,TACAN,28.23769951,-80.61180115,10
COL,VOR-DME,40.31169891,-74.15979767,120
CON,VORTAC,43.21979904,-71.57550049,710
COT,VORTAC,28.46199989,-99.11849976,520
COU,VOR-DME,38.81079865,-92.21829987,883
CPN,VOR-DME,46.0320015,-112.7480011,5780
CQY,VORTAC,32.18569946,-96.2181015,400
CRE,VORTAC,33.81380081,-78.72450256,20
CRG,VORTAC,30.33889961,-81.50990295,40
CRI,VOR-DME,40.61249924,-73.89440155,10
CRL,VORTAC,42.04809952,-83.45760345,630
CRP,VORTAC,27.90379906,-97.44490051,60
CSG,VORTAC,32.61529922,-85.01760101,630
CSI,VORTAC,29.92230034,-99.21450043,2080
CSN,VORTAC,38.64120102,-77.8655014,445
CSX,VOR-DME,38.75270081,-90.36090088,530
CTB,VORTAC,48.56489944,-112.3430023,3780
CTF,VOR-DME,34.65050125,-80.27490234,560
CTR,VOR-DME,42.29130173,-72.94940186,1600
CTW,VOR-DME,40.22919846,-81.47650146,1180
CTY,VORTAC,29.59900093,-83.04869843,30
CUS,VOR-DME,31.81909943,-107.5739975,4008
CUZ,VOR-DME,41.48400116,-99.68910217,2850
CVA,VORTAC,41.70849991,-90.48329926,760
CVE,VOR-DME,32.89030075,-96.90399933,450
CVG,VORTAC,39.01599884,-84.70330048,879
CVI,VORTAC,36.3728981,-76.87159729,70
CVO,VOR-DME,44.49959946,-123.2939987,250
CVS,TACAN,34.38059998,-103.3219986,4280
CVV,VOR-DME,48.24470139,-122.723999,200
CWK,VORTAC,30.37849998,-97.52980042,593
CXR,VOR-DME,41.51689911,-81.16320038,1310
CYN,VORTAC,39.81729889,-74.43160248,210
CYS,VORTAC,41.21099854,-104.7730026,6210
CYY,VOR-DME,26.15340042,-81.77809906,9
CZF,DME,61.78030014,-166.0390015,457
CZI,VOR-DME,43.99969864,-106.435997,4798
CZQ,VORTAC,36.88430023,-119.8150024,363
DAG,VORTAC,34.96250153,-116.5780029,1760
DAK,VOR-DME,36.04290009,-94.19760132,1530
DAN,VOR,36.56890106,-79.33670044,570
DAS,VORTAC,30.18969917,-94.64499664,75
DBL,VOR-DME,39.43930054,-106.8949966,11758
DBN,VORTAC,32.56069946,-82.83319855,300
DBQ,VORTAC,42.4015007,-90.70909882,1051
DBS,VORTAC,44.08890152,-112.2089996,4915
DCA,VOR-DME,38.85950089,-77.03639984,9
DCU,VOR-DME,34.64830017,-86.9394989,590
DDC,VORTAC,37.8506012,-100.0059967,2565
DDD,VOR-DME,41.36640167,-91.14910126,540
DDL,VOR-DME,43.21210098,-95.83390045,1417
DDY,VORTAC,43.09090042,-106.2770004,5860
DEN,VOR-DME,39.8125,-104.6610031,5440
DGD,VORTAC,37.02349854,-92.87689972,1600
DGG,NDB-DME,68.03240204,-162.904007,955
DHK,TACAN,29.53689957,-98.26779938,773
DHP,VORTAC,25.79999924,-80.34899902,10
DHT,VORTAC,36.09149933,-102.5449982,4020
DIK,VORTAC,46.86000061,-102.7740021,2520
DIW,NDB-DME,34.56850052,-77.45300293,54
DJB,VOR-DME,41.35810089,-82.16200256,780
DKK,VORTAC,42.49060059,-79.27410126,680
DLF,VORTAC,29.36090088,-100.7720032,1071
DLG,VOR-DME,58.99420166,-158.552002,119
DLH,VORTAC,46.80220032,-92.20290375,1430
DLL,VORTAC,43.55089951,-89.76360321,1020
DLN,VOR-DME,45.24860001,-112.5469971,5260
DMA,TACAN,32.15990067,-110.8809967,2663
DMN,VORTAC,32.27560043,-107.6050034,4210
DNJ,VORTAC,44.76710129,-116.2060013,7300
DNV,VORTAC,40.29380035,-87.55719757,700
DNW,VOR-DME,43.82830048,-110.3349991,7720
DNY,VOR-DME,42.17829895,-74.95690155,2560
DOB,TACAN,33.91460037,-84.50730133,1008
DOV,TACAN,39.13230133,-75.46730042,17
DPA,VOR-DME,41.89039993,-88.35019684,800
DPK,VOR-DME,40.79180145,-73.30370331,117
DPR,VORTAC,45.0780983,-101.7149963,2530
DQN,VOR-DME,40.01639938,-84.39689636,990
DQO,VORTAC,39.67810059,-75.60710144,70
DRK,VORTAC,34.70259857,-112.4800034,4963
DRO,VOR-DME,37.15330124,-107.75,6660
DRU,VOR,46.63610077,-113.1869965,4150
DSD,VORTAC,44.25279999,-121.3040009,4100
DSM,VORTAC,41.43700027,-93.6486969,940
DTA,VORTAC,39.3022995,-112.5059967,4600
DTL,VOR-DME,46.82550049,-95.88739777,1384
DTN,VOR,32.53990173,-93.74130249,175
DUC,VOR-DME,34.3844986,-97.91680145,1090
DUG,VORTAC,31.47270012,-109.6019974,4160
DUT,NDB-DME,53.90520096,-166.548996,284
DVC,VORTAC,37.80879974,-108.9309998,6990
DVL,VOR-DME,48.11520004,-98.91249847,1450
DVV,VORTAC,39.8946991,-104.6240005,5270
DWG,TACAN,30.47820091,-86.52089691,77
DWN,VORTAC,45.08750153,-94.45379639,1130
DXO,VOR-DME,42.21310043,-83.36669922,638
DYR,VORTAC,36.01860046,-89.31759644,380
DYS,TACAN,32.41849899,-99.85710144,1782
EAR,VOR,40.7256012,-99.00509644,2130
EAT,VOR-DME,47.39970016,-120.2109985,1224
EAU,VORTAC,44.89770126,-91.47850037,900
ECA,VORTAC,37.83359909,-121.1709976,48
ECB,VORTAC,38.15840149,-82.91010284,1070
ECG,VOR-DME,36.25759888,-76.17559814,10
ECK,VORTAC,43.25590134,-82.71790314,810
ECS,VOR,43.88119888,-104.3079987,4211
EDF,TACAN,61.25500107,-149.7689972,360
EDN,VOR,31.29599953,-85.90329742,369
EDS,VOR-DME,33.45569992,-80.85839844,189
EDW,VORTAC,34.98239899,-117.7330017,2354
EED,VORTAC,34.76599884,-114.473999,620
EEN,VORTAC,42.79430008,-72.29180145,1380
EFD,TACAN,29.6060009,-95.15969849,30
EHF,VORTAC,35.48460007,-119.0970001,550
EHM,NDB-DME,58.65589905,-162.076004,541
EIC,VORTAC,32.77140045,-93.80989838,190
EIL,TACAN,64.65380096,-147.0939941,528
EKN,VORTAC,38.91439819,-80.09929657,2160
EKR,VOR-DME,40.06750107,-107.9250031,7620
ELA,VOR-DME,29.66250038,-96.31719971,190
ELB,VOR-DME,33.67599869,-117.7310028,336
ELD,VORTAC,33.25619888,-92.74389648,230
ELN,VORTAC,47.02429962,-120.4580002,1766
ELO,VOR-DME,47.82189941,-91.83010101,1490
ELP,VORTAC,31.8159008,-106.2819977,4020
ELW,VORTAC,34.4192009,-82.78469849,740
ELX,VOR-DME,42.14440155,-86.12259674,795
ELY,VOR-DME,39.29809952,-114.8479996,6254
ELZ,VORTAC,42.08959961,-77.99949646,2296
EMG,VORTAC,32.40019989,-93.5951004,160
EMI,VORTAC,39.49499893,-76.97859955,820
EMP,VORTAC,38.29109955,-96.13809967,1220
ENA,VOR-DME,60.61470032,-151.1950073,114
END,VORTAC,36.34500122,-97.91829681,1304
ENE,VORTAC,43.42570114,-70.6135025,190
ENI,VORTAC,39.05319977,-123.2740021,2980
ENL,VORTAC,38.41999817,-89.15899658,550
ENM,VOR-DME,62.7845993,-164.4880066,5
ENN,VORTAC,64.58999634,-149.072998,1600
ENO,VORTAC,39.2317009,-75.51589966,10
ENW,VOR-DME,42.59909821,-87.93170166,735
EON,VORTAC,41.26959991,-87.79109955,690
EOS,VOR-DME,36.8423996,-94.43569946,1200
EPH,VORTAC,47.37789917,-119.4240036,1250
ERI,VORTAC,42.01739883,-80.29270172,800
ERY,VOR-DME,46.31280136,-85.46430206,871
ESC,VOR-DME,45.72259903,-87.08959961,600
ESF,VORTAC,31.44750023,-92.32189941,195
ESL,VOR-DME,39.2254982,-78.98950195,2590
EST,VOR,43.40909958,-94.74440002,1320
ETG,VORTAC,41.21500015,-78.14279938,2250
ETL,VOR-DME,38.04029846,-108.2590027,8460
ETX,VOR-DME,40.58100128,-75.68399811,750
EUF,VORTAC,31.95019913,-85.13050079,280
EUG,VORTAC,44.1208992,-123.2229996,364
EVM,VOR-DME,47.42440033,-92.50189972,1376
EVW,VOR-DME,41.27249908,-111.0469971,7131
EWA,VORTAC,32.3667984,-88.45839691,300
EWC,VORTAC,40.82519913,-80.21160126,1220
EWM,VORTAC,31.95170021,-106.2720032,4040
EWN,VOR-DME,35.07310104,-77.04509735,10
EWO,VOR-DME,37.63180161,-85.67590332,960
EYW,VORTAC,24.58589935,-81.80049896,10
FAH,VOR-DME,43.76890182,-87.84829712,744
FAI,VORTAC,64.80010223,-148.0119934,1493
FAK,VORTAC,37.5284996,-77.82820129,460
FAM,VORTAC,37.67340088,-90.23400116,1220
FAR,VORTAC,46.7533989,-96.8513031,910
FAY,VOR-DME,34.98550034,-78.87509918,180
FBR,VOR-DME,41.3783989,-110.4240036,7060
FCA,VOR-DME,48.21409988,-114.1760025,2984
FCM,VOR-DME,44.82569885,-93.45680237,900
FCS,VOR-DME,38.68069839,-104.7570038,5829
FDK,VOR,39.41220093,-77.37509918,299
FDY,VORTAC,40.95529938,-83.7559967,820
FFM,VOR-DME,46.28929901,-96.15670013,1190
FFO,TACAN,39.81900024,-84.05549622,804
FFT,VOR,38.18239975,-84.90859985,800
FFU,VORTAC,40.27489853,-111.9410019,7690
FGT,VORTAC,44.63090134,-93.18209839,930
FHU,VOR,31.5897007,-110.3550034,4664
FIM,VORTAC,34.3567009,-118.8809967,2200
FJC,VORTAC,40.72669983,-75.45480347,680
FJS,VOR-DME,41.4496994,-122.8059998,4900
FKL,VOR,41.43859863,-79.85679626,1530
FKN,VORTAC,36.71419907,-77.01229858,90
FLG,VOR-DME,35.14720154,-111.6740036,7026
FLL,VOR-DME,26.0746994,-80.15249634,10
FLM,VOR-DME,38.6495018,-84.31060028,810
FLO,VORTAC,34.23289871,-79.65709686,110
FLP,VOR-DME,36.29959869,-92.45839691,780
FLW,VORTAC,35.0931015,-119.8659973,3870
FMG,VORTAC,39.53129959,-119.6559982,5949
FMH,TACAN,41.6595993,-70.51390076,120
FML,VORTAC,34.98910141,-80.95480347,645
FNT,VORTAC,42.96680069,-83.74700165,770
FOD,VORTAC,42.61119843,-94.2947998,1150
